Time slots,Output1 ,Output2 
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,17.062,17.062
9,62.056,62.056
10,92.727,92.727
11,386.042,386.042
12,362.222,362.222
13,430.768,430.768
14,399.845,399.845
15,56.97,56.97
16,48.4,48.4
17,173.016,173.016
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,86.454,86.454
33,28.431,28.431
34,149.638,149.638
35,308.236,308.236
36,500.708,500.708
37,891.521,891.521
38,659.345,659.345
39,477.366,477.366
40,323.453,323.453
41,109.785,109.785
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,117.139,117.139
57,383.134,383.134
58,614.534,614.534
59,708.822,708.822
60,778.575,778.575
61,788.445,788.445
62,811.738,811.738
63,510.614,510.614
64,314.032,314.032
65,96.092,96.092
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,70.699,70.699
81,272.798,272.798
82,391.095,391.095
83,776.669,776.669
84,872.247,872.247
85,746.557,746.557
86,285.743,285.743
87,7.579,7.579
88,216.3,216.3
89,210.74,210.74
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,114.911,114.911
105,386.115,386.115
106,624.917,624.917
107,793.272,793.272
108,888.871,888.871
109,905.59,905.59
110,840.491,840.491
111,699.443,699.443
112,492.554,492.554
113,234.087,234.087
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,134.841,134.841
129,395.245,395.245
130,620.232,620.232
131,786.447,786.447
132,880.88,880.88
133,897.017,897.017
134,832.024,832.024
135,692.652,692.652
136,487.836,487.836
137,233.288,233.288
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,42.736,42.736
153,169.118,169.118
154,437.206,437.206
155,779.219,779.219
156,865.809,865.809
157,882.221,882.221
158,820.663,820.663
159,683.728,683.728
160,482.608,482.608
161,225.415,225.415
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,129.278,129.278
177,389.968,389.968
178,618.38,618.38
179,787.508,787.508
180,881.423,881.423
181,900.28,900.28
182,836.874,836.874
183,698.162,698.162
184,492.083,492.083
185,237.132,237.132
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
