Load_demand [kWh],Solar_irradiance [W/m^2],Output power [W/m^2],Grid_connection_condition
27.32,0,0,1
26.07,0,0,0
26.91,0,0,1
27.14,0,0,0
26.36,0,0,1
26.4,0,0,1
26.45,0,0,0
27.62,0,17.062,1
26.76,0,62.056,0
26.8,0,92.727,1
25.21,173,386.042,1
24.81,99,362.222,1
25.73,153,430.768,0
25.41,150,399.845,0
25.94,0,56.97,1
26.35,0,48.4,0
24.95,381,173.016,0
25,0,0,0
13.69,0,0,1
12.9,0,0,1
11.93,0,0,1
11.17,0,0,1
11.17,0,0,1
11.17,0,0,1
10.78,0,0,0
10.45,0,0,1
10.76,0,0,1
10.78,0,0,0
10.25,0,0,1
10.19,0,0,0
11.02,0,0,0
10.35,196,86.454,1
10.42,0,28.431,1
10.83,13,149.638,1
9.88,90,308.236,0
10.46,259,500.708,0
10.11,942,891.521,1
10.31,604,659.345,0
10,432,477.366,0
9.8,402,323.453,1
10.55,171,109.785,1
10.34,0,0,1
9.12,0,0,1
10.01,0,0,0
9.16,0,0,1
8.56,0,0,0
8.09,0,0,1
8.2,0,0,1
8.44,0,0,1
7.99,0,0,0
8.24,0,0,0
8.49,0,0,0
8.17,0,0,1
8.42,0,0,1
8.21,0,0,1
8.32,341,117.139,0
8.46,728,383.134,0
8.67,871,614.534,1
7.96,801,708.822,1
7.82,765,778.575,1
8.15,751,788.445,1
7.99,923,811.738,0
8.58,505,510.614,0
8.68,368,314.032,0
8.34,121,96.092,0
8.12,0,0,0
8.21,0,0,0
9.31,0,0,0
8.28,0,0,1
7.97,0,0,1
8.06,0,0,0
8.77,0,0,0
8.11,0,0,1
8.24,0,0,0
9.71,0,0,1
9.44,0,0,1
10.02,0,0,1
8.45,0,0,1
11.89,0,0,1
12.07,156,70.699,1
11.25,410,272.798,0
11.5,355,391.095,0
12.11,912,776.669,0
12.23,954,872.247,0
12.57,661,746.557,0
12.48,53,285.743,1
12.17,0,7.579,0
12.87,155,216.3,1
12.1,518,210.74,1
11.17,0,0,1
12.18,0,0,0
11.44,0,0,0
12.03,0,0,1
12.34,0,0,0
12.47,0,0,0
11.67,0,0,0
12.21,0,0,0
11.4,0,0,1
12.36,0,0,0
11.74,0,0,0
12.19,0,0,0
12.75,0,0,0
12.55,0,0,0
11.72,327,114.911,0
12.35,735,386.115,0
12.16,889,624.917,0
12,959,793.272,0
11.82,984,888.871,0
11.79,990,905.59,1
11.88,975,840.491,0
12.46,936,699.443,0
12.78,844,492.554,0
12.42,612,234.087,1
12.54,0,0,1
9.42,0,0,0
9.79,0,0,0
9.62,0,0,0
9.95,0,0,0
9.39,0,0,1
9.43,0,0,1
10.54,0,0,1
10.57,0,0,0
9.26,0,0,1
9.5,0,0,1
9.57,0,0,1
9.9,0,0,1
9.78,0,0,1
9.87,439,134.841,1
10.12,801,395.245,0
9.67,924,620.232,0
8.85,979,786.447,1
8.99,1000,880.88,1
9.74,1003,897.017,0
8.94,987,832.024,1
8.27,945,692.652,1
8.06,853,487.836,0
8.09,627,233.288,1
8.56,0,0,0
8.6,0,0,1
7.8,0,0,1
8.62,0,0,1
8.38,0,0,1
7.9,0,0,0
8.48,0,0,0
8.4,0,0,1
8.12,0,0,0
8.36,0,0,1
7.64,0,0,0
7.72,0,0,1
