Time slots ,Load1,Load2
1,0,38
2,0,38
3,0,38
4,0,38
5,0,38
6,0,38
7,0,38
8,17.062,55.062
9,62.056,100.056
10,92.727,130.727
11,386.042,424.042
12,362.222,400.222
13,430.768,468.768
14,399.845,437.845
15,56.97,94.97
16,48.4,86.4
17,173.016,211.016
18,0,38
19,0,38
20,0,38
21,0,38
22,0,38
23,0,38
24,0,38
25,0,38
26,0,38
27,0,38
28,0,38
29,0,38
30,0,38
31,0,38
32,86.454,124.454
33,28.431,66.431
34,149.638,187.638
35,308.236,346.236
36,500.708,538.708
37,891.521,929.521
38,659.345,697.345
39,477.366,515.366
40,323.453,361.453
41,109.785,147.785
42,0,38
43,0,38
44,0,38
45,0,38
46,0,38
47,0,38
48,0,38
49,0,38
50,0,38
51,0,38
52,0,38
53,0,38
54,0,38
55,0,38
56,117.139,155.139
57,383.134,421.134
58,614.534,652.534
59,708.822,746.822
60,778.575,816.575
61,788.445,826.445
62,811.738,849.738
63,510.614,548.614
64,314.032,352.032
65,96.092,134.092
66,0,38
67,0,38
68,0,38
69,0,38
70,0,38
71,0,38
72,0,38
73,0,38
74,0,38
75,0,38
76,0,38
77,0,38
78,0,38
79,0,38
80,70.699,108.699
81,272.798,310.798
82,391.095,429.095
83,776.669,814.669
84,872.247,910.247
85,746.557,784.557
86,285.743,323.743
87,7.579,45.579
88,216.3,254.3
89,210.74,248.74
90,0,38
91,0,38
92,0,38
93,0,38
94,0,38
95,0,38
96,0,38
97,0,38
98,0,38
99,0,38
100,0,38
101,0,38
102,0,38
103,0,38
104,114.911,152.911
105,386.115,424.115
106,624.917,662.917
107,793.272,831.272
108,888.871,926.871
109,905.59,943.59
110,840.491,878.491
111,699.443,737.443
112,492.554,530.554
113,234.087,272.087
114,0,38
115,0,38
116,0,38
117,0,38
118,0,38
119,0,38
120,0,38
121,0,38
122,0,38
123,0,38
124,0,38
125,0,38
126,0,38
127,0,38
128,134.841,172.841
129,395.245,433.245
130,620.232,658.232
131,786.447,824.447
132,880.88,918.88
133,897.017,935.017
134,832.024,870.024
135,692.652,730.652
136,487.836,525.836
137,233.288,271.288
138,0,38
139,0,38
140,0,38
141,0,38
142,0,38
143,0,38
144,0,38
145,0,38
146,0,38
147,0,38
148,0,38
149,0,38
150,0,38
151,0,38
152,42.736,80.736
153,169.118,207.118
154,437.206,475.206
155,779.219,817.219
156,865.809,903.809
157,882.221,920.221
158,820.663,858.663
159,683.728,721.728
160,482.608,520.608
161,225.415,263.415
162,0,38
163,0,38
164,0,38
165,0,38
166,0,38
167,0,38
168,0,38
169,0,38
170,0,38
171,0,38
172,0,38
173,0,38
174,0,38
175,0,38
176,129.278,167.278
177,389.968,427.968
178,618.38,656.38
179,787.508,825.508
180,881.423,919.423
181,900.28,938.28
182,836.874,874.874
183,698.162,736.162
184,492.083,530.083
185,237.132,275.132
186,0,38
187,0,38
188,0,38
189,0,38
190,0,38
191,0,38
192,0,38
193,0,38
194,0,38
195,0,38
196,0,38
197,0,38
198,0,38
199,0,38
200,126.733,164.733
201,395.539,433.539
202,424.825,462.825
203,657.53,695.53
204,798.41,836.41
205,848.932,886.932
206,655.709,693.709
207,467.31,505.31
208,391.637,429.637
209,150.865,188.865
210,0,38
211,0,38
212,0,38
213,0,38
214,0,38
215,0,38
216,0,38
217,0,38
218,0,38
219,0,38
220,0,38
221,0,38
222,0,38
223,0,38
224,118.131,156.131
225,381.496,419.496
226,608.821,646.821
227,777.366,815.366
228,872.859,910.859
229,890.994,928.994
230,826.647,864.647
231,628.867,666.867
232,382.891,420.891
233,62.481,100.481
234,0,38
235,0,38
236,0,38
237,0,38
238,0,38
239,0,38
240,0,38
241,0,38
242,0,38
243,0,38
244,0,38
245,0,38
246,0,38
247,0,38
248,98.506,136.506
249,363.737,401.737
250,436.631,474.631
251,768.345,806.345
252,867.737,905.737
253,890.73,928.73
254,833.97,871.97
255,700.76,738.76
256,503.366,541.366
257,247.456,285.456
258,0,38
259,0,38
260,0,38
261,0,38
262,0,38
263,0,38
264,0,38
265,0,38
266,0,38
267,0,38
268,0,38
269,0,38
270,0,38
271,0,38
272,131.374,169.374
273,399.1,437.1
274,633.494,671.494
275,806.933,844.933
276,905.387,943.387
277,925.934,963.934
278,863.426,901.426
279,724.355,762.355
280,517.775,555.775
281,259.537,297.537
282,0,38
283,0,38
284,0,38
285,0,38
286,0,38
287,0,38
288,0,38
289,0,38
290,0,38
291,0,38
292,0,38
293,0,38
294,0,38
