Time slots ,Solar,Solar2
1,0,38
2,0,38
3,0,38
4,0,38
5,0,38
6,0,38
7,0,38
8,0,55.062
9,0,100.056
10,0,130.727
11,173,424.042
12,99,400.222
13,153,468.768
14,150,437.845
15,0,94.97
16,0,86.4
17,381,211.016
18,0,38
19,0,38
20,0,38
21,0,38
22,0,38
23,0,38
24,0,38
25,0,38
26,0,38
27,0,38
28,0,38
29,0,38
30,0,38
31,0,38
32,196,124.454
33,0,66.431
34,13,187.638
35,90,346.236
36,259,538.708
37,942,929.521
38,604,697.345
39,432,515.366
40,402,361.453
41,171,147.785
42,0,38
43,0,38
44,0,38
45,0,38
46,0,38
47,0,38
48,0,38
49,0,38
50,0,38
51,0,38
52,0,38
53,0,38
54,0,38
55,0,38
56,341,155.139
57,728,421.134
58,871,652.534
59,801,746.822
60,765,816.575
61,751,826.445
62,923,849.738
63,505,548.614
64,368,352.032
65,121,134.092
66,0,38
67,0,38
68,0,38
69,0,38
70,0,38
71,0,38
72,0,38
73,0,38
74,0,38
75,0,38
76,0,38
77,0,38
78,0,38
79,0,38
80,156,108.699
81,410,310.798
82,355,429.095
83,912,814.669
84,954,910.247
85,661,784.557
86,53,323.743
87,0,45.579
88,155,254.3
89,518,248.74
90,0,38
91,0,38
92,0,38
93,0,38
94,0,38
95,0,38
96,0,38
97,0,38
98,0,38
99,0,38
100,0,38
101,0,38
102,0,38
103,0,38
104,327,152.911
105,735,424.115
106,889,662.917
107,959,831.272
108,984,926.871
109,990,943.59
110,975,878.491
111,936,737.443
112,844,530.554
113,612,272.087
114,0,38
115,0,38
116,0,38
117,0,38
118,0,38
119,0,38
120,0,38
121,0,38
122,0,38
123,0,38
124,0,38
125,0,38
126,0,38
127,0,38
128,439,172.841
129,801,433.245
130,924,658.232
131,979,824.447
132,1000,918.88
133,1003,935.017
134,987,870.024
135,945,730.652
136,853,525.836
137,627,271.288
138,0,38
139,0,38
140,0,38
141,0,38
142,0,38
143,0,38
144,0,38
145,0,38
146,0,38
147,0,38
148,0,38
149,0,38
150,0,38
151,0,38
152,69,80.736
153,145,207.118
154,446,475.206
155,962,817.219
156,952,903.809
157,957,920.221
158,942,858.663
159,905,721.728
160,809,520.608
161,575,263.415
162,0,38
163,0,38
164,0,38
165,0,38
166,0,38
167,0,38
168,0,38
169,0,38
170,0,38
171,0,38
172,0,38
173,0,38
174,0,38
175,0,38
176,410,167.278
177,782,427.968
178,911,656.38
179,971,825.508
180,979,919.423
181,986,938.28
182,970,874.874
183,931,736.162
184,837,530.083
185,608,275.132
186,0,38
187,0,38
188,0,38
189,0,38
190,0,38
191,0,38
192,0,38
193,0,38
194,0,38
195,0,38
196,0,38
197,0,38
198,0,38
199,0,38
200,401,164.733
201,779,433.539
202,413,462.825
203,662,695.53
204,792,836.41
205,876,886.932
206,569,693.709
207,395,505.31
208,542,429.637
209,276,188.865
210,0,38
211,0,38
212,0,38
213,0,38
214,0,38
215,0,38
216,0,38
217,0,38
218,0,38
219,0,38
220,0,38
221,0,38
222,0,38
223,0,38
224,367,156.131
225,747,419.496
226,881,646.821
227,941,815.366
228,963,910.859
229,964,928.994
230,940,864.647
231,767,666.867
232,502,420.891
233,26,100.481
234,0,38
235,0,38
236,0,38
237,0,38
238,0,38
239,0,38
240,0,38
241,0,38
242,0,38
243,0,38
244,0,38
245,0,38
246,0,38
247,0,38
248,262,136.506
249,678,401.737
250,438,474.631
251,907,806.345
252,935,905.737
253,949,928.73
254,941,871.97
255,910,738.76
256,828,541.366
257,617,285.456
258,0,38
259,0,38
260,0,38
261,0,38
262,0,38
263,0,38
264,0,38
265,0,38
266,0,38
267,0,38
268,0,38
269,0,38
270,0,38
271,0,38
272,428,169.374
273,800,437.1
274,929,671.494
275,989,844.933
276,1006,943.387
277,1011,963.934
278,996,901.426
279,956,762.355
280,867,555.775
281,653,297.537
282,0,38
283,0,38
284,0,38
285,0,38
286,0,38
287,0,38
288,0,38
289,0,38
290,0,38
291,0,38
292,0,38
293,0,38
294,0,38
295,0,38
296,137,101.278
297,803,438.253
298,938,676.047
299,1002,852.934
300,1033,958.281
301,1040,980.133
302,1026,919.765
303,989,780.884
304,908,574.361
305,707,313.227
306,0,38
307,0,38
308,0,38
309,0,38
310,0,38
311,0,38
312,0,38
313,0,38
314,0,38
315,0,38
316,0,38
317,0,38
318,0,38
319,0,38
320,491,183.858
321,847,454.571
322,965,689.179
323,1018,864.462
324,1025,962.755
325,1027,981.937
326,1009,918.123
